Linux 6.8.0-1053-raspi (robotgreier4) 	05/09/2026 	_aarch64_	(4 CPU)

05:29:10 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
05:29:11 AM     0         1    0.00    0.00    0.00    0.00    0.00     3  systemd
05:29:11 AM     0         2    0.00    0.00    0.00    0.00    0.00     2  kthreadd
05:29:11 AM     0         3    0.00    0.00    0.00    0.00    0.00     0  pool_workqueue_release
05:29:11 AM     0         4    0.00    0.00    0.00    0.00    0.00     0  kworker/R-rcu_g
05:29:11 AM     0         5    0.00    0.00    0.00    0.00    0.00     0  kworker/R-rcu_p
05:29:11 AM     0         6    0.00    0.00    0.00    0.00    0.00     0  kworker/R-slub_
05:29:11 AM     0         7    0.00    0.00    0.00    0.00    0.00     0  kworker/R-netns
05:29:11 AM     0        11    0.00    0.00    0.00    0.00    0.00     1  kworker/u8:0-events_unbound
05:29:11 AM     0        12    0.00    0.00    0.00    0.00    0.00     0  kworker/R-mm_pe
05:29:11 AM     0        13    0.00    0.00    0.00    0.00    0.00     0  rcu_tasks_kthread
05:29:11 AM     0        14    0.00    0.00    0.00    0.00    0.00     0  rcu_tasks_rude_kthread
05:29:11 AM     0        15    0.00    0.00    0.00    0.00    0.00     0  rcu_tasks_trace_kthread
05:29:11 AM     0        16    0.00    0.00    0.00    0.00    0.00     0  ksoftirqd/0
05:29:11 AM     0        17    0.00    0.92    0.00    0.92    0.92     2  rcu_preempt
05:29:11 AM     0        18    0.00    0.00    0.00    0.00    0.00     0  migration/0
05:29:11 AM     0        19    0.00    0.00    0.00    0.00    0.00     0  cpuhp/0
05:29:11 AM     0        20    0.00    0.00    0.00    0.00    0.00     1  cpuhp/1
05:29:11 AM     0        21    0.00    0.00    0.00    0.00    0.00     1  migration/1
05:29:11 AM     0        22    0.00    0.00    0.00    0.00    0.00     1  ksoftirqd/1
05:29:11 AM     0        25    0.00    0.00    0.00    0.00    0.00     2  cpuhp/2
05:29:11 AM     0        26    0.00    0.00    0.00    0.00    0.00     2  migration/2
05:29:11 AM     0        27    0.00    0.00    0.00    0.00    0.00     2  ksoftirqd/2
05:29:11 AM     0        30    0.00    0.00    0.00    0.00    0.00     3  cpuhp/3
05:29:11 AM     0        31    0.00    0.00    0.00    0.00    0.00     3  migration/3
05:29:11 AM     0        32    0.00    0.00    0.00    0.00    0.00     3  ksoftirqd/3
05:29:11 AM     0        35    0.00    0.00    0.00    0.00    0.00     3  kdevtmpfs
05:29:11 AM     0        36    0.00    0.00    0.00    0.00    0.00     2  kworker/R-inet_
05:29:11 AM     0        37    0.00    0.00    0.00    0.00    0.00     2  kauditd
05:29:11 AM     0        38    0.00    0.92    0.00    0.00    0.92     0  kworker/0:2-events
05:29:11 AM     0        39    0.00    0.00    0.00    0.00    0.00     2  khungtaskd
05:29:11 AM     0        40    0.00    0.00    0.00    0.00    0.00     1  oom_reaper
05:29:11 AM     0        42    0.00    0.00    0.00    0.00    0.00     3  kworker/R-write
05:29:11 AM     0        43    0.00    0.00    0.00    0.00    0.00     0  kcompactd0
05:29:11 AM     0        44    0.00    0.00    0.00    0.00    0.00     3  khugepaged
05:29:11 AM     0        45    0.00    0.00    0.00    0.00    0.00     3  kworker/R-kinte
05:29:11 AM     0        46    0.00    0.00    0.00    0.00    0.00     3  kworker/R-kbloc
05:29:11 AM     0        47    0.00    0.00    0.00    0.00    0.00     3  kworker/R-blkcg
05:29:11 AM     0        48    0.00    0.00    0.00    0.00    0.00     2  kworker/u8:2-events_power_efficient
05:29:11 AM     0        49    0.00    0.00    0.00    0.00    0.00     3  kworker/u8:3-events_power_efficient
05:29:11 AM     0        50    0.00    0.00    0.00    0.00    0.00     2  kworker/R-tpm_d
05:29:11 AM     0        51    0.00    0.00    0.00    0.00    0.00     3  kworker/R-edac-
05:29:11 AM     0        52    0.00    0.00    0.00    0.00    0.00     3  kworker/R-devfr
05:29:11 AM     0        53    0.00    0.00    0.00    0.00    0.00     3  watchdogd
05:29:11 AM     0        55    0.00    0.00    0.00    0.00    0.00     1  kworker/R-quota
05:29:11 AM     0        57    0.00    0.00    0.00    0.00    0.00     1  kswapd0
