procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
22  0      0 717304  49924 561708    0    0   428    44 4998   19 50 14 35  1  0  0
18  0      0 667712  49924 561584    0    0     0    56 5389 3758 77 23  0  0  0  0
18  0      0 621596  49940 562264    0    0     4   280 5401 2851 83 17  0  0  0  0
19  0      0 593148  49940 562936    0    0     0    92 4714 2645 85 15  0  0  0  0
20  0      0 549576  49940 564268    0    0     0     0 5248 4047 80 20  0  0  0  0
16  0      0 509564  49952 566256    0    0    12     0 5159 4593 76 24  0  0  0  0
20  0      0 464484  49964 567524    0    0    12   100 5213 4583 78 22  0  0  0  0
36  0      0 413424  49980 570132    0    0     8   136 5990 7595 67 32  0  0  0  0
39  0      0 370928  49984 572240    0    0     4     0 6006 9352 59 40  0  0  0  0
35  0      0 330356  49984 572372    0    0     0     0 5873 8369 64 36  0  0  0  0
24  0      0 294068  49988 572988    0    0     4     0 6218 10293 64 36  0  0  0  0
32  0      0 256072  49988 573064    0    0     0    96 6672 11665 63 37  1  0  0  0
16  0      0 240448  49996 573092    0    0     0    92 7173 12074 66 34  0  0  0  0
 4  0      0 217784  50000 573788    0    0     4   172 8079 12816 59 33  8  0  0  0
36  0      0 210980  50000 573824    0    0     0     0 8598 12931 54 28 18  0  0  0
12  0      0 188048  50000 573852    0    0     0     0 7959 13601 66 32  2  0  0  0
14  0      0 184520  50000 573884    0    0     0    96 7282 12192 77 22  2  0  0  0
14  0      0 184520  50000 573920    0    0     0     0 7496 12521 80 18  1  0  0  0
14  0      0 183512  50008 573956    0    0     0    64 7402 13752 79 18  3  0  0  0
16  0      0 176480  50008 573984    0    0     0     0 7599 12197 77 19  4  0  0  0
15  0      0 175748  50008 574024    0    0     0     0 7367 12190 76 21  3  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0      0 176892  50008 574056    0    0     0     0 7510 11814 76 20  4  0  0  0
 9  0      0 179156  50008 574084    0    0     0   116 7218 13094 74 25  1  0  0  0
15  0      0 182844  50016 574116    0    0     0    32 7249 11525 76 22  2  0  0  0
10  0      0 183776  50016 574144    0    0     0     0 7181 11815 79 19  2  0  0  0
13  0      0 186548  50016 574176    0    0     0     0 7582 11901 76 20  4  0  0  0
13  0      0 184532  50016 574204    0    0     0     0 7720 12805 76 21  3  0  0  0
15  0      0 188732  50016 574236    0    0     0    96 7294 11574 79 19  2  0  0  0
12  0      0 188732  50024 574268    0    0     0    32 7378 10636 77 22  2  0  0  0
12  0      0 188732  50024 574296    0    0     0     0 7337 11320 75 23  2  0  0  0
12  0      0 191476  50024 574332    0    0     0     0 7376 12834 74 24  3  0  0  0
17  0      0 188452  50024 574360    0    0     0     0 7036 11517 79 19  2  0  0  0
17  0      0 186436  50024 574388    0    0     0     0 7238 12101 79 19  1  0  0  0
15  0      0 186436  50032 574424    0    0     0    28 7513 12308 78 21  1  0  0  0
10  0      0 184924  50032 574452    0    0     0     0 7618 11191 77 21  2  0  0  0
11  0      0 183412  50032 574488    0    0     0     0 7215 12266 78 21  1  0  0  0
12  0      0 185188  50032 574516    0    0     0     0 7064 11318 77 22  1  0  0  0
11  0      0 183428  50032 574548    0    0     0     0 7650 11095 76 23  1  0  0  0
11  0      0 182672  50040 574580    0    0     0   216 7323 12075 80 19  1  0  0  0
11  0      0 181916  50040 574612    0    0     0     0 7560 12841 78 20  2  0  0  0
 7  0      0 181736  50040 574652    0    0     0     0 7312 11043 80 19  1  0  0  0
 8  0      0 182364  50040 574676    0    0     0     0 7168 10727 80 19  1  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
15  0      0 179340  50040 574720    0    0     0     0 7020 10736 80 19  1  0  0  0
19  0      0 179088  50052 574756    0    0     0    44 7261 10732 76 22  1  0  0  0
13  0      0 179088  50052 574784    0    0     0   304 7302 10561 76 23  1  0  0  0
16  0      0 180360  50052 574820    0    0     0     0 7312 10365 80 18  1  0  0  0
14  0      0 179476  50052 574844    0    0     0     0 7335 10625 80 19  1  0  0  0
 9  0      0 179068  50052 574872    0    0     0     0 7181 11013 80 19  1  0  0  0
11  0      0 180316  50060 574904    0    0     0    88 7278 10877 81 18  1  0  0  0
 8  0      0 181768  50060 574932    0    0     0   212 7196 12751 78 20  2  0  0  0
14  0      0 180296  50060 574960    0    0     0     0 7043 13353 77 23  1  0  0  0
13  0      0 180296  50060 574988    0    0     0     0 7190 12357 76 23  1  0  0  0
